file,case,title
"200007/臺灣苗栗地方法院刑事/MLDM,89,訴,140,20000724.json",訴,違反廢棄物清理法
"200007/臺灣苗栗地方法院刑事/MLDM,89,訴,142,20000724.json",訴,違反廢棄物清理法
"200007/臺灣苗栗地方法院刑事/MLDM,89,訴,149,20000724,3.json",訴,違反廢棄物清理法
"200007/臺灣苗栗地方法院刑事/MLDM,89,訴,149,20000724.json",訴,違反廢棄物清理法
"200007/臺灣苗栗地方法院刑事/MLDM,89,訴,198,20000724.json",訴,違反廢棄物清理法
"200007/臺灣高等法院刑事/TPHM,89,上訴,3401,20000728.json",上訴,違反廢棄物清理法
"200007/臺灣高等法院高雄分院刑事/KSHM,89,上訴,1107,20000725.json",上訴,違反廢棄物清理法
"200007/臺灣高雄地方法院刑事/KSDM,89,訴,1095,20000726.json",訴,違反廢棄物清理法
"200007/臺灣高雄地方法院刑事/KSDM,89,訴,1359,20000731.json",訴,違反廢棄物清理法
"200008/最高法院刑事/TPSM,89,台上,4814,20000810.json",台上,違反廢棄物清理法
"200008/最高法院刑事/TPSM,89,台非,252,20000810.json",台非,違反廢棄物清理法
"200008/臺灣南投地方法院刑事/NTDM,89,訴,218,20000824.json",訴,違反廢棄物清理法
"200008/臺灣屏東地方法院刑事/PTDM,89,訴,147,20000823.json",訴,違反廢棄物清理法
"200008/臺灣屏東地方法院刑事/PTDM,89,訴,201,20000808.json",訴,違反廢棄物清理法
"200008/臺灣屏東地方法院刑事/PTDM,89,訴,340,20000829.json",訴,違反廢棄物清理法
"200008/臺灣新竹地方法院刑事/SCDM,89,竹簡,383,20000817.json",竹簡,違反廢棄物清理法
"200008/臺灣新竹地方法院刑事/SCDM,89,訴,275,20000831.json",訴,違反廢棄物清理法
"200008/臺灣桃園地方法院刑事/TYDM,89,訴,839,20000823.json",訴,違反廢棄物清理法
"200008/臺灣桃園地方法院刑事/TYDM,89,訴,964,20000821.json",訴,違反廢棄物清理法
"200008/臺灣臺北地方法院刑事/TPDM,89,簡,638,20000828.json",簡,違反廢棄物清理法
"200008/臺灣臺北地方法院刑事/TPDM,89,訴,1021,20000814.json",訴,違反廢棄物清理法等
"200008/臺灣臺北地方法院刑事/TPDM,89,訴,601,20000824,1.json",訴,違反廢棄物清理法
"200008/臺灣臺北地方法院刑事/TPDM,89,訴,601,20000824.json",訴,違反廢棄物清理法
"200008/臺灣苗栗地方法院刑事/MLDM,88,訴,425,20000816.json",訴,違反廢棄物清理法
"200008/臺灣苗栗地方法院刑事/MLDM,89,苗簡,445,20000822.json",苗簡,違反廢棄物清理法
"200008/臺灣苗栗地方法院刑事/MLDM,89,訴,100,20000810.json",訴,違反廢棄物清理法
"200008/臺灣苗栗地方法院刑事/MLDM,89,訴,136,20000821.json",訴,違反廢棄物清理法
"200008/臺灣苗栗地方法院刑事/MLDM,89,訴,166,20000802.json",訴,違反廢棄物清理法
"200008/臺灣苗栗地方法院刑事/MLDM,89,訴,202,20000809.json",訴,違反廢棄物清理法
"200008/臺灣苗栗地方法院刑事/MLDM,89,訴,234,20000810.json",訴,違反廢棄物清理法
"200008/臺灣苗栗地方法院刑事/MLDM,89,訴,74,20000810.json",訴,違反廢棄物清理法等
"200008/臺灣高等法院臺南分院刑事/TNHM,89,上訴,1163,20000802.json",上訴,違反廢棄物清理法
"200008/臺灣高等法院高雄分院刑事/KSHM,89,上訴,749,20000829.json",上訴,違反廢棄物清理法等
"200008/臺灣高等法院高雄分院刑事/KSHM,89,上訴,764,20000831.json",上訴,違反廢棄物清理法
"200008/臺灣高等法院高雄分院刑事/KSHM,89,上訴,968,20000831.json",上訴,違反廢棄物清理法
"200008/臺灣高雄地方法院刑事/KSDM,89,訴,1032,20000818.json",訴,違反廢棄物清理法
"200009/臺灣桃園地方法院刑事/TYDM,89,訴,788,20000908.json",訴,違反廢棄物清理法
"200009/臺灣桃園地方法院刑事/TYDM,89,訴,788,20000911.json",訴,違反廢棄物清理法
"200009/臺灣桃園地方法院刑事/TYDM,89,訴,988,20000920.json",訴,違反廢棄物清理法等
"200009/臺灣苗栗地方法院刑事/MLDM,89,訴,140,20000920.json",訴,違反廢棄物清理法
"200009/臺灣苗栗地方法院刑事/MLDM,89,訴,142,20000920.json",訴,違反廢棄物清理法
"200009/臺灣苗栗地方法院刑事/MLDM,89,訴,149,20000920.json",訴,違反廢棄物清理法
"200009/臺灣苗栗地方法院刑事/MLDM,89,訴,198,20000920.json",訴,違反廢棄物清理法
"200009/臺灣苗栗地方法院刑事/MLDM,89,訴,288,20000927.json",訴,違反廢棄物清理法
"200009/臺灣苗栗地方法院刑事/MLDM,89,訴,294,20000928.json",訴,違反廢棄物清理法
"200009/臺灣苗栗地方法院刑事/MLDM,89,訴,299,20000927.json",訴,違反廢棄物清理法
"200009/臺灣苗栗地方法院刑事/MLDM,89,訴,84,20000927.json",訴,違反廢棄物清理法
"200009/臺灣高等法院臺南分院刑事/TNHM,89,上訴,1284,20000907.json",上訴,違反廢棄物清理法
"200009/臺灣高等法院臺南分院刑事/TNHM,89,上訴,1445,20000930,1.json",上訴,違反廢棄物清理法
"200009/臺灣高等法院花蓮分院刑事/HLHM,89,上訴,203,20000913.json",上訴,違反廢棄物清理法
"200009/臺灣高等法院高雄分院刑事/KSHM,89,上訴,1369,20000907,1.json",上訴,違反廢棄物清理法
"200009/臺灣高等法院高雄分院刑事/KSHM,89,上訴,1530,20000930.json",上訴,違反廢棄物清理法
"200009/臺灣高等法院高雄分院刑事/KSHM,89,上訴,840,20000905.json",上訴,違反廢棄物清理法
"200009/臺灣高雄地方法院刑事/KSDM,89,訴,1260,20000904.json",訴,違反廢棄物清理法
"200009/臺灣高雄地方法院刑事/KSDM,89,訴,1729,20000907.json",訴,違反廢棄物清理法
"200009/臺灣高雄地方法院刑事/KSDM,89,訴,1786,20000930.json",訴,違反廢棄物清理法
"200009/臺灣高雄地方法院刑事/KSDM,89,訴,896,20000918.json",訴,違反廢棄物清理法
"200010/臺灣南投地方法院刑事/NTDM,89,訴更一,3,20001025.json",訴更一,違反廢棄物清理法
"200010/臺灣基隆地方法院刑事/KLDM,89,訴,372,20001004.json",訴,違反廢棄物清理法等
"200010/臺灣新竹地方法院刑事/SCDM,89,訴,393,20001021.json",訴,違反廢棄物清理法
